OPPORTUNITY_NUMBER,OPPORTUNITY_TITLE,OPPORTUNITY_STATUS,POSTED_DATE,CLOSE_DATE,ARCHIVE_DATE,OPPORTUNITY_CATEGORY,FUNDING_CATEGORIES,AGENCY,OPPORTUNITY_URL,MATCHED_KEYWORDS,SUMMARY,FUNDING_DESCRIPTION
ED-GRANTS-091225-001,Office of Elementary and Secondary Education (OESE): Innovation and Early Learning Programs: Education Innovation and Research (EIR) Program Expansion Grants Assistance Listing Number 84.411A,Posted,09/12/2025,10/14/2025,,,,,,education; innovation,"<p>Note: Each funding opportunity description is a synopsis of information in the Federal Register application notice. For specific information about eligibility, please see the official application notice. The official version of this document is the document published in the Federal Register. Please review the offici...","<p>Note: Each funding opportunity description is a synopsis of information in the Federal Register application notice. For specific information about eligibility, please see the official application notice. The official version of this document is the document published in the Federal Register. Please review the official application notice for pre-application and application requirements, application submission information, performance measures, priorities and program contact information.</p><p><br></p><p>For the addresses for obtaining and submitting an application, please refer to our Common Instructions for Applicants to Department of Education Discretionary Grant&nbsp;Programs, published in the Federal Register on August 29, 2025&nbsp;(90 FR 42234), and available https://www.federalregister.gov/documents/2025/08/29/2025-16571/common-instructions-and-information-for-applicants-todepartment-of-education-discretionary-grantams.</p><p><br></p><p>Purpose of Program: The EIR program, established under section 4611 of the Elementary and Secondary Education Act of 1965, as amended (ESEA), provides funding to create, develop, implement, replicate, or take to scale entrepreneurial, evidence-based (as defined in this notice), field-initiated innovations to improve student achievement and attainment for high-need students; and to rigorously evaluate such innovations. This notice invites applications for Expansion grants only. The notice inviting applications for Mid-phase grants within the EIR program is published elsewhere in this issue of the Federal Register. The Department does not intend to offer an Early-phase competition, yet may fund high-scoring, unfunded applicants from any of the FY 2024 EIR Competitions.</p><p><br></p><p>Assistance Listing Number: 84.411A.&nbsp;</p>"
O-BJA-2025-172441,BJA FY25 DNA Capacity Enhancement for Backlog Reduction (CEBR)- Competitive Grants Program,Posted,09/11/2025,10/22/2025,,,,,,technology,This funding opportunity seeks to support states and units of local government with existing crime laboratories that conduct DNA analysis to solve crimes and protect public safety by maximizing the effective utilization of DNA technology to process DNA samples for entry into the Combined DNA Index System (CODIS). This...,"This funding opportunity seeks to support states and units of local government with existing crime laboratories that conduct DNA analysis to solve crimes and protect public safety by maximizing the effective utilization of DNA technology to process DNA samples for entry into the Combined DNA Index System (CODIS).

This program is for Competitive funding only. See FY 2025 DNA Capacity Enhancement for Backlog Reduction (CEBR) – Formula Grants Program for formula funding. Eligible agencies may apply for both Competitive and Formula CEBR Funding."
23-615,Division of Physics: Investigator-Initiated Research Projects,Posted,09/11/2025,12/09/2025,,,,,,research,The Division of Physics (PHY)supports physics research and the preparation of future scientists in the nation&rsquo;s colleges and universities across a broad range of physics disciplines that span scales of space and time from the largest to the smallest and the oldest to the youngest. The Division is comprised of dis...,"The Division of Physics (PHY)supports physics research and the preparation of future scientists in the nation&rsquo;s colleges and universities across a broad range of physics disciplines that span scales of space and time from the largest to the smallest and the oldest to the youngest. The Division is comprised of disciplinary programs covering experimental and theoretical research in the following major subfields of physics:Atomic, Molecular and Optical Physics; Elementary Particle Physics; Gravitational Physics; Integrative Activities in Physics; Nuclear Physics; Particle Astrophysics; Physics at the Information Frontier; Physics of Living Systems; Plasma Physics; and Quantum Information Science.


Additional Information


The Division of Physics strongly encourages single proposal submission for possible co-review rather than submission of multiple related proposals to several programs.


PIs considering submitting more than one proposal to this solicitation, or who already have an active PHY award, are encouraged to first consult with the relevant program officer(s) before preparing a new proposal. This does not apply to awards from or submissions to the MRI, REU, and/or center programs, or in cases of renewal proposals.


Due Dates


Full Proposal Deadline(s) (due by 5 p.m. submitter&rsquo;s local time):

<table style=""width: 630px;"" border=""1"" cellspacing=""0"" cellpadding=""0"">
<tbody>
<tr>
<td valign=""top"" width=""294"">

Program(s)

</td>
<td valign=""top"" width=""336"">

Deadline

</td>
</tr>
<tr>
<td valign=""top"" width=""294"">

Plasma Physics

</td>
<td valign=""top"" width=""336"">

Third Monday in November, e.g. November 20, 2023

</td>
</tr>
<tr>
<td valign=""top"" width=""294"">

AMO &ndash; Theory and Experiment


Gravitational Physics &ndash; Theory and Experiment


LIGO Research Support


Integrative Activities in Physics

</td>
<td valign=""top"" width=""336"">

Fourth Wednesday in November,


e.g. November 22, 2023

</td>
</tr>
<tr>
<td valign=""top"" width=""294"">

Elementary Particle Physics &ndash; Experiment


Particle Astrophysics &ndash; Experiment

</td>
<td valign=""top"" width=""336"">

First Tuesday in December, e.g. December 05, 2023

</td>
</tr>
<tr>
<td valign=""top"" width=""294"">

Nuclear Physics &ndash; Theory and Experiment


Elementary Particle Physics &ndash; Theory


Particle Astrophysics and Cosmology &ndash; Theory


Physics of Living Systems


Quantum Information Science

</td>
<td valign=""top"" width=""336"">

Second Tuesday in December,


e.g. December 12, 2023

</td>
</tr>
</tbody>
</table>"
USDA-FNS-2026-F2S,Farm to School Grant Program,Posted,09/10/2025,12/05/2025,,,,,,education; infrastructure,"<p>The program objective for the FY 2026 Farm to School Grant Program is to:</p><p><strong style=""color: black;"">Improve access to local foods in eligible CNP sites through comprehensive farm to CNP programming that includes local sourcing and agricultural education efforts.</strong></p><p>Proposed activities should cl...","<p>The program objective for the FY 2026 Farm to School Grant Program is to:</p><p><strong style=""color: black;"">Improve access to local foods in eligible CNP sites through comprehensive farm to CNP programming that includes local sourcing and agricultural education efforts.</strong></p><p>Proposed activities should clearly align with the objective and their associated activities and indicators. Careful consideration of proposed activities and indicators will prepare grantees for their progress reporting requirements if awarded.</p><p>Examples of project activities that could be supported by FY 2026 Farm to School grants and support the required objective include, but are not limited to:</p><ul><li>Launching a pilot program that creates opportunities for eligible entities to create farm to CNP initiatives;</li><li>Incorporating more unprocessed and value-added, minimally processed, locally or regionally sourced meal components into the CNP meals;</li><li>Readying producers to participate in the CNP food marketplace by providing training on procurement regulations, Good Agricultural Practices, and other food safety-related topics;</li><li>Improving infrastructure to accommodate new local ingredients or local menu items in CNP meals;</li><li>Solving distribution bottlenecks that limit the feasibility of sourcing more locally or regionally produced items by working closely with intermediaries (e.g., distributors, food hubs);</li><li>Integrating agricultural education with career and technical preparation programs to encourage the next generation of agricultural producers;</li><li>Expanding experiential learning opportunities at CNP sites, such as creating school gardens, developing school-based farmers markets, providing support to agriculture/food clubs, and/or increasing exposure to local farms and on-farm activities;</li><li>Encouraging increased consumption of fruits and vegetables in CNP sites through promotional activities, taste tests, and other activities featuring local products;</li><li>Adopting agricultural education curricula that encourage the sharing of Indigenous traditional knowledge between generations, such as native plant varieties and planting practices; and</li><li>Developing and implementing integrated curriculum to reinforce food and nutrition-based learning throughout the school environment or on a local farm(s).</li></ul><p><br></p>"
RFA-AG-26-025,Claude D. Pepper Older Americans Independence Centers (P30 Clinical Trial Optional),Posted,09/10/2025,10/20/2025,,,,,,research; education,This Notice of Funding Opportunity (NOFO) invitesapplications for the Claude D. Pepper Older Americans Independence Centers (OAICs) award. The goal of the OAIC program is to establishcenters of excellence in geriatrics research and research education to increase scientific knowledge leading to better ways to maintain o...,"This Notice of Funding Opportunity (NOFO) invitesapplications for the Claude D. Pepper Older Americans Independence Centers (OAICs) award. The goal of the OAIC program is to establishcenters of excellence in geriatrics research and research education to increase scientific knowledge leading to better ways to maintain or restore independence in older persons. OAIC awards are designed to develop or strengthen programs that focus on, and sustain progress in, a key area of aging research related to the mission of the OAIC program."
RFA-AG-26-007,Artificial Intelligence and Technology Collaboratory Coordinating Center (U24 Clinical Trial Not Allowed),Posted,09/10/2025,10/15/2025,,,,,,research; technology,This Notice of Funding Opportunity (NOFO) invites Cooperative Agreement (U24) applications for the National Institute on Aging (NIA) Artificial Intelligence and Technology Collaboratory (AITC) Coordinating Center (AITCC). The AITC Program promotes the development and implementation of artificial intelligence approaches...,"This Notice of Funding Opportunity (NOFO) invites Cooperative Agreement (U24) applications for the National Institute on Aging (NIA) Artificial Intelligence and Technology Collaboratory (AITC) Coordinating Center (AITCC). The AITC Program promotes the development and implementation of artificial intelligence approaches and technology through research projects for aging and AD/ADRD research. The central functions of the AITCC are to (1) serve as a hub for the AITC Program and facilitate and coordinate activities across the AITC Program, (2) centralize and lead key stakeholder engagement activities across the AITC Program, and (3) enhance the scientific impact and reach of the AITC Program by actively disseminating information about the program and attracting new researchers from across the country to participate in program activities and resources."
RFA-AG-26-006,Artificial Intelligence and Technology Collaboratory (P30 Clinical Trial Optional),Posted,09/10/2025,10/15/2025,,,,,,research; technology,This Notice of Funding Opportunity (NOFO) invites Center Core (P30) applications for the National Institute on Aging (NIA) Artificial Intelligence and Technology Collaboratories (AITC) program. The AITC Program promotes the development and implementation of artificial intelligence approaches and technology through rese...,"This Notice of Funding Opportunity (NOFO) invites Center Core (P30) applications for the National Institute on Aging (NIA) Artificial Intelligence and Technology Collaboratories (AITC) program. The AITC Program promotes the development and implementation of artificial intelligence approaches and technology through research projects for aging and AD/ADRD research. All applications should propose strategies for addressing ethical challenges surrounding artificial intelligence and technologydevelopment and implementation, and to employ, when possible, best practices established in the fields of aging and AD/ADRD."
PAR-25-446,Development of Interventions to Prevent and Treat Substance Use Disorders and Overdose (UG3/UH3 - Clinical Trial Optional),Posted,09/10/2025,08/21/2028,,,,,,research,"The purpose of this Funding Opportunity (NOFO) is to solicit grant applications to support research on the discovery and development of interventions to prevent and/or treat substance use disorders (SUDs) and overdose, including medications and medical devices to treat co-morbid SUDs. This includes preclinical and clin...","The purpose of this Funding Opportunity (NOFO) is to solicit grant applications to support research on the discovery and development of interventions to prevent and/or treat substance use disorders (SUDs) and overdose, including medications and medical devices to treat co-morbid SUDs. This includes preclinical and clinical research studies that will have high impact and quickly yield the necessary results to advance candidate interventions closer to regulatory approval or clinical adoption. This NOFO will utilize the UG3/UH3 activity code."
P25AS00475,FY2025 ABPP - Battlefield Restoration Grants,Posted,09/09/2025,01/08/2026,,,,,,research,Historic battlefields and associated sites of armed conflict are powerful reminders of the shared heritage of all Americans. The National Park Service American Battlefield Protection Program (NPS ABPP) promotes the preservation and interpretation of these important places. NPS ABPP supports community-driven stewardship...,"Historic battlefields and associated sites of armed conflict are powerful reminders of the shared heritage of all Americans. The National Park Service American Battlefield Protection Program (NPS ABPP) promotes the preservation and interpretation of these important places. NPS ABPP supports community-driven stewardship of historic resources through four grant opportunities: Preservation Planning, Battlefield Restoration, Battlefield Interpretation, and Battlefield Land Acquisition. NPS ABPP administers the Battlefield Restoration Grant opportunity to provide assistance for the restoration of day-of-battle conditions within eligible Civil War battlefields listed in the Civil War sites Advisory Commission's (CWSAC) Report on the Nation's Civil War Battlefields (1993) and in the principal battlefields of the Revolutionary War and War of 1812 identified in NPS ABPP""s Report to Congress on the Historic Preservation of Revolutionary War and War of 1812 Sites in the United States (2007) (Survey Reports). Restoration sites must be located outside the external boundaries of a unit of the National Park System and must have been protected with assistance from a NPS""s Battlefield Land Acquisition Grant (BLAG) established under 54 U.S.C. §308103(b), be owned by state or local government entities (e.g., state or local battlefield parks), OR owned by a nonprofit organization, and located within the boundaries of battlefields listed in the Survey Reports. Funding from the Land and Water Conservation Fund (LWCF) will support planning and implementation activities for historic preservation projects at eligible properties and will be awarded competitively. Grants require a dollar-for-dollar non-Federal match. Two categories of grants are available for activities supporting the restoration efforts at eligible properties:Scoping Grants are available to fund early stages of project development, such as research, documentation, and evaluation to determine appropriate treatment options that meet the Secretary of the Interior""s Standards for the Treatment of Historic Properties and Guidelines for the Treatment of Historic Landscapes; consultation with stakeholders; development of comprehensive treatment and management plans, schematic designs, and/or specifications. The Federal share for these planning grants should range from $30,000-$100,000 and have a period of performance of 1 to 2 years.Implementation Grants are available to applicants who have completed planning activities prior to application. These include evaluation of historic resources, and identification if preservation, rehabilitation, or restoration is the most appropriate and viable option according to the Secretary of the Interior""s Standards for the Treatment of Historic Properties and Guidelines for the Treatment of Historic Landscapes, prior to application. Proposed treatments may include reconstruction of specific features or elements within a landscape, provided there is adequate documentation and differentiation of new and historical elements. Total reconstructions of buildings or landscapes that no longer retain any integrity to the period of the battle are not eligible, as they serve purposes of interpretation rather than historic preservation. The applicant must provide planning documentation as part of the application that sufficiently addresses the Standards and Guidelines and evaluation of historic resources (see Application Review). The Federal share for these grants should range from $50,000-$750,000 and have a period of performance of 2 to 5 years.Land developed with these funds will be subject to the LWCF non-conversion requirements. Nonprofit partners with title on eligible lands must convey a perpetual preservation easement on the land to the appropriate State Historic Preservation Office (SHPO) or to another organization acceptable to the National Park Service and SHPO."
HHS-2026-IHS-TDCP-0001,Dental Preventive Clinical Support,Posted,09/09/2025,10/10/2025,,,,,,infrastructure,"The purpose of the Dental Preventive and Clinical Support Center Program is to combine existing resources and infrastructure with IHS Headquarters, IHS Area resources, and dental support centers to address broad challenges and opportunities in the dental field. Through collaborative efforts with the IHS Division of Ora...","The purpose of the Dental Preventive and Clinical Support Center Program is to combine existing resources and infrastructure with IHS Headquarters, IHS Area resources, and dental support centers to address broad challenges and opportunities in the dental field. Through collaborative efforts with the IHS Division of Oral Health (DOH), the dental support centers will address two priority goals:Supporting, guiding, training, and enhancing IHS/Tribal/Urban (I/T/U) dental programs within their Area(s).Ensuring that the services of the support centers and the I/T/U/ dental programs result in documented and measurable improvements or outcomes in the oral health of the American Indian and Alaska Native (AI/AN) patients served.The primary function of a support center is not to provide clinical care but rather to support clinical care by promoting oral health initiatives, training, supporting oral health screenings, and providing materials. Projects will focus on support for dental programs in a specific region or Area, rather than focusing on one locale or on clinical or preventive care alone. Well-designed support centers will improve and document oral health outcomes for communities, by promoting IHS DOH oral health initiatives to oral health programs."
EPA-I-OLEM-ORCR-25-02,Solid Waste Infrastructure for Recycling (SWIFR) Grants for Tribes and Intertribal Consortia,Posted,09/08/2025,12/12/2025,,,,,,infrastructure,"<p>The Solid Waste Infrastructure for Recycling (SWIFR) grant program will assist local waste management authorities by supporting improvements to local post-consumer materials management, including municipal recycling programs, and assisting local waste management authorities in making improvements to local waste mana...","<p>The Solid Waste Infrastructure for Recycling (SWIFR) grant program will assist local waste management authorities by supporting improvements to local post-consumer materials management, including municipal recycling programs, and assisting local waste management authorities in making improvements to local waste management systems. </p><p><br></p><p>Consistent with the authorizing statute in Section 302(a) of the Save Our Seas 2.0 Act, SWIFR will support an economy that uses a systems-focused approach and involves industrial processes and economic activities that are restorative or regenerative by design, enables resources used in such processes and activities to maintain their highest value for as long as possible, and aims for the elimination of waste through the superior design of materials, products, and systems (including business models).&nbsp;</p>"
RFA-AI-25-010,Nonhuman Primate Reagent Resource (U24 Clinical Trial Not Allowed),Posted,09/04/2025,10/28/2025,,,,,,research,"The purpose of this notice of funding opportunity (NOFO) is to continue support for a nonhuman primate (NHP) reagent resource that enables rigorous and reproducible research in NHP models through the development, production, and distribution of NHP-specific immunologic reagents that are not commercially available or, i...","The purpose of this notice of funding opportunity (NOFO) is to continue support for a nonhuman primate (NHP) reagent resource that enables rigorous and reproducible research in NHP models through the development, production, and distribution of NHP-specific immunologic reagents that are not commercially available or, if commercially available, are not optimized for use in NHPs. The over-arching goal is to accelerate cures, vaccines, and treatments for immune-mediated diseases and emerging and reemerging infectious diseases by facilitating robust preclinical research in NHPs."
RFA-AT-25-004,"NIH Blueprint for Neuroscience: Coordination Center for Interoception Research (BPCCIR) (U24, Clinical Trial Not Allowed)",Posted,09/02/2025,11/10/2025,,,,,,research,"The purpose of this NOFO is to establish the NIH Blueprint for Neuroscience Research Coordination Center for Interoception Research (BPCCIR). Interoception, for the purpose of this NOFO, encompasses the processes by which an organism or a person senses, interprets, integrates, and regulates signals that represent the i...","The purpose of this NOFO is to establish the NIH Blueprint for Neuroscience Research Coordination Center for Interoception Research (BPCCIR). Interoception, for the purpose of this NOFO, encompasses the processes by which an organism or a person senses, interprets, integrates, and regulates signals that represent the internal states. The goals of the NBCCIR are to: 1) promote a multidisciplinary approach for interoception research, and 2) bridge the gap between brain and body studies through a cooperative agreement funding mechanism, U24.  This NOFO aims to foster interactions within the broad community of interoception researchers, rather than focusing on disease-specific subdisciplines.  Specifically, the NOFO will support efforts to: 1) establish and maintain a multidisciplinary team of interoception researchers to oversee and guide NBCCIR activities; 2) create and support digital communication platforms to facilitate networking, collaborations, and information dissemination; 3) plan, organize, and host at least one scientific meeting per year that will include NIH-funded interoception researchers, trainees, and other stakeholders; 4) identify challenges and future technological and scientific opportunities for the field of interoception and develop common terminology, data standards, and common data elements; and 5) generate metrics of success and plans to ensure the sustainability of the interoception research community."
RFA-AI-25-035,Influenza Transmission Research Consortium (P01 Clinical Trial Optional),Posted,09/02/2025,11/07/2025,,,,,,research,The purpose of this notice of funding opportunity (NOFO) is to support basic research to understand the fundamental mechanisms underlying human-to-human transmission of seasonal influenza virus. The NOFO will establish an Influenza Transmission Research Consortium comprised of a network of individual Influenza Transmis...,"The purpose of this notice of funding opportunity (NOFO) is to support basic research to understand the fundamental mechanisms underlying human-to-human transmission of seasonal influenza virus. The NOFO will establish an Influenza Transmission Research Consortium comprised of a network of individual Influenza Transmission Research Centers. Centers should propose collaborative, multidisciplinary teams that will investigate the dynamics and drivers of influenza transmission and develop novel resources to further the field of respiratory virus transmission."
RFA-AG-26-011,NIA Expanding Research in AD/ADRD (ERA) Summer Research Education Program (R25 Independent Clinical Trial Not Allowed),Posted,09/02/2025,05/26/2027,,,,,,research; education,"This Notice of Funding Opportunity (NOFO) invites R25 applications to support the development and implementation of summer research education programs for high school students, undergraduates, or science teachers from all backgrounds, including those from groups underrepresented in the biomedical and behavioral science...","This Notice of Funding Opportunity (NOFO) invites R25 applications to support the development and implementation of summer research education programs for high school students, undergraduates, or science teachers from all backgrounds, including those from groups underrepresented in the biomedical and behavioral sciences. It is essential to expand and broaden the skilled Alzheimer's Disease (AD) and Alzheimers Disease Related Dementias (ADRD) research workforce and provide exposure to AD/ADRD research to individuals early in their careers. The proposed research education programs will support intensive summer research experiences in the AD/ADRD field with the goal of exposing participants to AD/ADRD research and encourage further study or participation in biomedical and behavioral research.
This NOFO does not allow participants to lead an independent clinical trial, but does allow them to obtain research experience in a clinical trial led by a mentor or co-mentor."
RFA-AG-26-010,NIA Expanding Research in AD/ADRD (ERA) Postbaccalaureate Research Education Program (R25 Independent Clinical Trial Not Allowed),Posted,09/02/2025,05/26/2027,,,,,,research; education,"This Notice of Funding Opportunity Announcement (NOFO) invites R25 applications to support the development and implementation of research education programs for recent baccalaureates from all backgrounds, including those from groups underrepresented in the biomedical and behavioral sciences. It is essential to expand a...","This Notice of Funding Opportunity Announcement (NOFO) invites R25 applications to support the development and implementation of research education programs for recent baccalaureates from all backgrounds, including those from groups underrepresented in the biomedical and behavioral sciences. It is essential to expand and broaden the skilled Alzheimers Disease (AD) and Alzheimers Disease and Related Dementias (ADRD) research workforce and provide exposure to AD/ADRD research to individuals early in their careers. The proposed research education programs will support intensive research experiences in the AD/ADRD field with the goal of preparing recent baccalaureates to transition into strong, research-focused advanced degree programs or competitive private sector research careers in AD-related disciplines."
25-546,Foundations for Operating the National Artificial Intelligence Research Resource: the NAIRR Operations Center  (NAIRR-OC),Posted,09/02/2025,02/04/2026,,,,,,research; education; innovation; infrastructure,The National Artificial Intelligence Research Resource (NAIRR) Pilot is a pioneering public-private initiative to catalyze a competitive national artificial intelligence (AI) ecosystem for discovery and innovation by connecting U.S. researchers and educators to the most advanced public and private-sector computational...,"The National Artificial Intelligence Research Resource (NAIRR) Pilot is a pioneering public-private initiative to catalyze a competitive national artificial intelligence (AI) ecosystem for discovery and innovation by connecting U.S. researchers and educators to the most advanced public and private-sector computational and data platforms, datasets, software, AI models, and technological expertise necessary to accelerate AI-driven discovery and innovation. Beginning in January 2024, U.S. National Science Foundation (NSF) &ndash; together with 14 other federal agencies and 28 private sector partners &ndash; established the NAIRR Pilot, which has immediately advanced innovative AI and science research and accelerated AI workforce training and education. As recommended by America's AI Action Plan, the NAIRR Operations Center (NAIRR-OC) will serve as a lean and sustainable operations capability and be the focal point for operational transition from the current Pilot towards a sustainable long-term NAIRR.


This solicitation seeks proposals to establish a community-based organizationthat will be responsible for the foundational visioning, coordination, operations, and development activities in support of an integrated national infrastructure for AI research and education. The resulting award would advance the National Artificial Intelligence Research Resource (NAIRR) vision for a public-private partnership to accelerate AI innovation and national competitiveness. This NAIRR Operations Center (NAIRR-OC) will be responsible for the following overarching goals and responsibilities:

<ul>
<li>Organizational leadership:Establishing the operational framework, organizational management, and success metrics for the NAIRR and its successful operations according to the vision, goals, and requirements established by the NSF and other federal partners.</li>
<li>Building NAIRR capabilities and community: Undertaking specific development activities in support of NAIRR stakeholders, including interfacing with partner organizations and resources, deploying a unified web portal, integrating data-focused and other resources into the NAIRR, and conducting outreach and community building activities.</li>
<li>Interfacing with Pilot Operations: Coordinating with existing NAIRR Pilot contributing partners and interfacing with the independently supported teams conducting NAIRR Pilot operational functions, while developing tailored plans to execute such functions via the NAIRR-OC in the future.</li>
</ul>

NSF anticipates making a single award for this competition. NSF will provide oversight of award activities via the NAIRR Program Management Office (PMO) which may include representatives from partnering agencies. The awardee from this competition may be eligible for expansion of operational responsibilities and duties in a future phase, depending on NAIRR priorities, awardee performance and availability of funds. <a id=""_anchor_1"" name=""_msoanchor_1"" href=""https://www.nsf.gov/cgi-bin/good-bye?https://nsf.sharepoint.com/sites/CISEClearance/Shared%20Documents/OAC%20Solicitations/FY26%20Solicitations/NAIRR%20Operating%20Entity/NAIRR-OC%20Solicitation%20w%20CISE-OAD%20Edits.docx#_msocom_1""><br /></a>"
F26AS00009,F26AS00009_FY 2026 - Sportfishing and Boating Safety Act - Boating Infrastructure Grant (BIG) Tier 2,Posted,08/28/2025,10/27/2025,,,,,,infrastructure,"The Boating Infrastructure Grant (BIG) Program (16 United States Code (U.S.C.) 777g-1) provides cost-sharing awards to eligible agencies of the 50 States, the District of Columbia, the Commonwealths of Puerto Rico and the Northern Mariana Islands, and the Territories of Guam, American Samoa, and the U.S. Virgin Islands...","The Boating Infrastructure Grant (BIG) Program (16 United States Code (U.S.C.) 777g-1) provides cost-sharing awards to eligible agencies of the 50 States, the District of Columbia, the Commonwealths of Puerto Rico and the Northern Mariana Islands, and the Territories of Guam, American Samoa, and the U.S. Virgin Islands. The purpose of the program is to maintain, renovate, and construct new boating facilities and associated boater amenities for transient recreational vessels at least 26 feet long that are operated, leased, rented, or chartered primarily for pleasure. Transient vessels are recreational vessels staying no more than 15 days at a facility. These facilities must provide public access and may be publicly or privately owned.Eligible activities may include but are not limited to:Boat slips, piers, mooring buoys, dinghy or courtesy docks, day docks, and gangwaysFuel stations, restrooms, showers, utilities, laundry facilities, and similar amenitiesLighting, communications, buoys, beacons, signals, markers, signs, and security featuresAdministration, coordination, and monitoring of the Tier 2 award.Complete information on other eligible and ineligible activities and the requirements for participation in the program can be found in the BIG Program regulations (50 CFR 86). Review these regulations and this announcement carefully before applying for a Fiscal Year (FY) 2026 BIG Tier 2 award. The maximum Federal portion of a Tier 2 award is $1,500,000. The recipient agency, a subrecipient, and/or another third party must provide at least 25 percent of the total project cost in non-federal cost sharing or match.For more information on the BIG Program, visit the Service's Boating Infrastructure Home Page."
F26AS00008,F26AS00008_FY 2026 - Sportfishing and Boating Safety Act - Boating Infrastructure Grant (BIG) Tier 1,Posted,08/28/2025,10/27/2025,,,,,,infrastructure,"The Boating Infrastructure Grant (BIG) Program (16 United States Code (U.S.C.) 777g-1) provides cost-sharing awards to eligible agencies of the 50 States, the District of Columbia, the Commonwealths of Puerto Rico and the Northern Mariana Islands, and the Territories of Guam, American Samoa, and the U.S. Virgin Islands...","The Boating Infrastructure Grant (BIG) Program (16 United States Code (U.S.C.) 777g-1) provides cost-sharing awards to eligible agencies of the 50 States, the District of Columbia, the Commonwealths of Puerto Rico and the Northern Mariana Islands, and the Territories of Guam, American Samoa, and the U.S. Virgin Islands. The purpose of the program is to maintain, renovate, and construct new boating facilities and associated boater amenities for transient recreational vessels at least 26 feet long that are operated, leased, rented, or chartered primarily for pleasure. Transient vessels are recreational vessels staying no more than 15 days at a facility. These facilities must provide public access and may be publicly or privately owned. Eligible activities may include but are not limited to: Boat slips, piers, mooring buoys, dinghy or courtesy docks, day docks, and gangwaysFuel stations, restrooms, showers, utilities, laundry facilities, and similar amenitiesLighting, communications, buoys, beacons, signals, markers, signs, and security featuresAdministration, coordination, and monitoring for any one or more BIG Tier 1 or Tier 2 awards.Complete information on other eligible and ineligible activities and the requirements for participation in the program can be found in the BIG Program regulations (50 CFR 86). Review these regulations and this announcement carefully before applying for a Fiscal Year (FY) 2026 BIG Tier 1 award. The maximum Federal portion of a Tier 1 award is $300,000. The recipient agency, a subrecipient, and/or another third party must provide at least 25 percent of the total project cost in non-federal cost sharing or match.For more information on the BIG Program, visit the Service's Boating Infrastructure Home Page."
P25AS00477,FY2025 ABPP - Battlefield Interpretation Grant,Posted,08/27/2025,11/25/2025,,,,,,research; education; technology,"Historic battlefields and sites of armed conflict are powerful reminders of the shared heritage of all Americans. As an ongoing effort to engage all Americans in the preservation of cultural resources beyond our park boundaries, the National Park Service American Battlefield Protection Program (NPS ABPP) promotes the p...","Historic battlefields and sites of armed conflict are powerful reminders of the shared heritage of all Americans. As an ongoing effort to engage all Americans in the preservation of cultural resources beyond our park boundaries, the National Park Service American Battlefield Protection Program (NPS ABPP) promotes the preservation and interpretation of these important places. NPS ABPP awards financial assistance to support community-driven stewardship of battlefields and sites of armed conflict through four grant opportunities: Preservation Planning, Battlefield Restoration, Battlefield Interpretation, and Battlefield Land Acquisition.NPS ABPP administers Battlefield Interpretation Grants to provide assistance for projects that deploy technology to modernize and enhance battlefield interpretation and education at Revolutionary War, War of 1812, and Civil War battlefield sites eligible for assistance under the Battlefield Acquisition Grant Program established under 54 U.S.C. §308103(b). These grants are funded from the Land and Water Conservation Fund, which invests earnings from offshore oil and gas leasing to help strengthen communities, preserve history and protect the national endowment of lands and waters. Funding will support scoping and implementation activities for historic preservation projects at eligible sites and will be awarded competitively. Grants require a dollar-for-dollar non-Federal match. State, local, and tribal governments, as well as nonprofit organizations are eligible to apply.Battlefield Interpretation Grants empower recipients to modernize and enhance battlefield education and interpretation - to inspire wonder, understanding and empathy at the places that witnessed some of our nation's most challenging events. This grant program encourages the use of technology to connect with visitors through videos, mobile apps, interpretive signs, augmented reality and more. Battlefield Interpretation Grants seek an enhanced user experience where the application of ""technology"" and understanding of ""modernize"" is keyed to the user. Who is the audience, and how do these elements engage them? The user experience also relates to the narratives shared that can be ""modernized."" What audiences are missing, and how might these elements engage them?Two categories of grants are available for battlefield interpretation projects in different stages: Scoping Grants: These are available to fund the early stages of project development, such as research and content creation, consultation with stakeholders, exploration of available technologies, audience research, and development of technical proposals. The federal share for these grants should range from $20,000-$50,000 and have a period of performance of 1-2 years.Implementation Grants: These are available to applicants who have completed interdisciplinary scoping prior to the application and can provide draft content and design plans. The federal share for these grants should range from $50,000-$200,000 and have a period of performance of 2-3 years. It is not necessary for an applicant to receive or complete a Scoping Grant prior to applying for an Implementation Grant, but their Implementation Grant application must show that the prerequisite steps of project development have been completed to be viable. On a case-by-case basis, the length of a project period of performance may differ from the above recommendations. As the nation approaches the 250th anniversary of the Declaration of Independence in 2026, NPS ABPP encourages projects that promote and expand preservation as well as enhance our understanding of the origins of the United States."
